nom;mode;operateur
5442;Bus;RD Mantois
5443;Bus;RD Mantois
6283;Bus;Transdev Versailles
5270;Bus;Transdev Sud Yvelines
5271;Bus;Transdev Sud Yvelines
5299;Bus;Transdev Sud Yvelines
6560;Bus;Keolis Seine et Oise Est
6561;Bus;Keolis Seine et Oise Est
6562;Bus;Keolis Seine et Oise Est
5211;Bus;Transdev Sud Yvelines
5212;Bus;Transdev Sud Yvelines
7810;Bus;Transdev Sud Yvelines
V6;Bus;RATP
FONT;Bus;Transdev Vallée Sud
7811;Bus;Transdev Sud Yvelines
HIRO;Bus;Transdev Vallée Sud
5215;Bus;Transdev Sud Yvelines
5318;Bus;Transdev Sud Yvelines
5320;Bus;Transdev Sud Yvelines
4450;Bus;Francilité Ouest Essonne
N24;Bus;RATP
5224;Bus;Transdev Sud Yvelines
5225;Bus;Transdev Sud Yvelines
5269;Bus;Transdev Sud Yvelines
5230;Bus;Transdev Sud Yvelines
5333;Bus;Transdev Sud Yvelines
1;Bus;Transdev Nord Seine-Saint-Denis
N52;Bus;RATP
11;Bus;Keolis Roissy Pays de France Ouest
1312;Bus;Keolis Nord Val d’Oise
1314;Bus;Keolis Nord Val d’Oise
N51;Bus;RATP
15;Bus;Transdev Nord Seine-Saint-Denis
2116;Bus;Keolis Roissy Pays de France Est
2117;Bus;Keolis Roissy Pays de France Est
2118;Bus;Keolis Roissy Pays de France Est
2119;Bus;Keolis Roissy Pays de France Est
2121;Bus;Keolis Roissy Pays de France Est
N44;Bus;RATP
R6;Bus;Keolis Roissy Pays de France Ouest
R7;Bus;Keolis Roissy Pays de France Ouest
R110;Bus;Keolis Roissy Pays de France Ouest
R111;Bus;Keolis Roissy Pays de France Ouest
R112;Bus;Keolis Roissy Pays de France Ouest
R113;Bus;Keolis Roissy Pays de France Ouest
N42;Bus;RATP
R104;Bus;Keolis Roissy Pays de France Ouest
R105;Bus;Keolis Roissy Pays de France Ouest
R106;Bus;Keolis Roissy Pays de France Ouest
R107;Bus;Keolis Roissy Pays de France Ouest
R108;Bus;Keolis Roissy Pays de France Ouest
R109;Bus;Keolis Roissy Pays de France Ouest
2101;Bus;Keolis Roissy Pays de France Est
2102;Bus;Keolis Roissy Pays de France Est
2103;Bus;Keolis Roissy Pays de France Est
N23;Bus;RATP
2104;Bus;Keolis Roissy Pays de France Est
2107;Bus;Keolis Roissy Pays de France Est
2108;Bus;Keolis Roissy Pays de France Est
2109;Bus;Keolis Roissy Pays de France Est
N34;Bus;RATP
2110;Bus;Keolis Roissy Pays de France Est
2111;Bus;Keolis Roissy Pays de France Est
2163;Bus;Keolis Roissy Pays de France Est
VITAVIL;Bus;Keolis Roissy Pays de France Ouest
777;Bus;Transdev Marne-et-Ourcq
100;Bus;Transdev Côteaux de la Marne
N33;Bus;RATP
2122;Bus;Keolis Roissy Pays de France Est
2123;Bus;Keolis Roissy Pays de France Est
30 B;Bus;Keolis Roissy Pays de France Ouest
30 D;Bus;Keolis Roissy Pays de France Ouest
R8;Bus;Keolis Roissy Pays de France Ouest
N31;Bus;RATP
31;Bus;Keolis Roissy Pays de France Ouest
32;Bus;Keolis Roissy Pays de France Ouest
33;Bus;Keolis Roissy Pays de France Ouest
39;Bus;Transdev Nord Seine-Saint-Denis
43;Bus;Transdev Nord Seine-Saint-Denis
N21;Bus;RATP
45;Bus;Transdev Nord Seine-Saint-Denis
1346;Bus;Keolis Nord Val d’Oise
1347;Bus;Keolis Nord Val d’Oise
1348;Bus;Keolis Nord Val d’Oise
1350;Bus;Keolis Nord Val d’Oise
2127;Bus;Keolis Roissy Pays de France Est
